sy_snum,sy_pnum,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_radv
2,1,4742.00,19.00,2.70,-0.350,2.243,2.31,,,
2,1,,,2.60,,,,,,
1,1,4340.00,24.08,1.80,0.040,,1.60,1.560,,
1,1,,,1.70,,,,,,
1,1,4213.00,29.79,2.78,-0.020,,1.93,,,
1,1,4813.00,11.00,2.20,-0.240,1.763,2.63,,,
1,1,,,1.20,,,,,,
1,2,5255.00,,0.90,0.510,-0.150,4.40,3.900,,-13.82
1,2,5314.94,1.00,0.97,0.405,,4.43,,,
1,2,5280.00,1.00,0.91,0.400,-0.153,4.40,,1.2739,
1,2,5338.00,0.93,0.90,0.410,,4.45,,,
1,2,,,0.90,,,,,,
1,2,,,0.91,,,,,,
1,2,,,1.00,0.350,,,,,
1,2,,,,,,,,,
3,1,5750.00,1.13,1.08,0.060,,4.36,,,
3,1,5711.97,1.16,0.98,0.074,,4.30,,,
3,1,5674.00,,0.99,0.038,,4.36,,,
3,1,5760.00,,1.00,0.050,,4.35,,,
3,1,5747.00,1.13,1.03,0.060,0.097,4.35,,1.0110,
3,1,,,,,,,,,
1,1,4157.00,25.92,1.22,-0.010,2.254,1.70,5.130,,
2,1,4979.00,8.50,2.30,-0.052,1.602,2.82,,,
2,1,,,2.10,,,,,,
1,1,4060.00,1.35,0.85,,,,0.005,,
1,1,4060.00,,0.85,,-0.370,,0.010,,
1,1,4060.00,,0.85,,-0.370,,0.005,,
1,1,3993.00,1.31,0.62,,-0.403,4.00,,0.3879,
1,1,4893.00,10.64,0.99,-0.770,1.774,2.42,6.920,,
1,2,5098.00,4.90,1.54,-0.030,1.164,3.50,2.700,,
1,2,5098.00,4.90,1.54,-0.030,1.164,3.50,2.700,,
1,1,3100.00,0.84,0.17,0.010,-1.164,4.50,2.500,,17.10
2,1,,,0.19,,,,0.030,,
1,1,3530.00,,0.40,,-1.720,,0.120,,9.60
1,1,3309.00,0.37,0.35,,-1.838,4.86,,10.1187,
1,1,3064.00,0.28,0.11,,-2.230,4.59,0.035,,10.60
1,1,,,0.02,,,,0.001,,
1,1,,,0.02,,,,0.008,,
1,1,2825.00,0.22,0.19,,-2.561,5.03,,25.2795,
2,3,29564.00,0.20,0.48,,,5.51,,,
2,3,,,0.48,,,,,,
1,1,4045.00,,0.60,,,,0.120,,-21.50
4,1,,1.13,1.16,,,,,,
4,1,6300.00,1.13,1.16,0.245,,4.50,0.910,,
4,1,6331.00,1.41,1.93,0.190,,4.43,,,
1,1,4415.00,18.11,1.23,-0.250,,1.80,4.604,,
2,1,4200.00,22.03,0.98,-0.460,,1.71,9.490,,
1,3,5882.00,,1.06,0.040,,,,,
1,3,5872.00,1.21,1.06,0.040,0.198,4.30,,0.8366,
1,3,,,,,,,,,11.22
1,3,,,,,,,,,
1,3,5829.16,1.14,1.01,0.026,,4.33,,,
1,3,5872.00,1.21,1.06,0.040,0.198,4.30,,0.8366,
1,3,,,,,,,,,
1,3,5829.16,1.14,1.01,0.026,,4.33,,,
1,3,5872.00,1.21,1.06,0.040,0.198,4.30,,0.8366,
1,3,5829.16,1.14,1.01,0.026,,4.33,,,
3,1,,,1.75,-0.027,0.850,,0.020,,17.30
3,1,7295.00,1.49,1.65,,0.752,4.31,,0.7071,
3,1,7295.00,1.49,1.65,,0.752,4.31,,0.7071,
1,1,,,1.04,,,,,,-33.15
1,1,5760.76,1.19,1.07,0.206,,4.32,,,
1,1,,,,,,,,,-33.25
1,1,5773.00,1.29,,0.200,,4.32,10.000,,
1,1,5758.00,1.18,1.03,0.180,0.136,4.31,,0.8937,
2,5,,,0.95,0.270,,,5.500,,
2,5,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185,
2,5,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185,
2,5,,,0.95,,,,,,
2,5,5317.89,0.96,0.97,0.383,,4.46,,,
2,5,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185,
2,5,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185,
2,5,,,,,,,,,27.25
2,5,,,0.95,,,,,,
2,5,5172.00,0.94,0.91,0.350,,4.43,,,
2,5,,,,,,,,,
2,5,5200.00,,0.85,0.230,,4.50,5.000,,
2,5,,,0.95,,,,,,
2,5,5172.00,0.94,0.91,0.350,,4.43,,,
2,5,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185,
2,5,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185,
2,5,,,0.95,,,,,,
2,5,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185,
2,5,5317.89,0.96,0.97,0.383,,4.46,,,
2,5,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185,
2,5,,,0.95,,,,,,
2,5,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185,
2,5,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185,
2,5,5172.00,0.94,0.91,0.350,,4.43,,,
2,5,5317.89,0.96,0.97,0.383,,4.46,,,
2,5,,,0.95,0.270,,,5.500,,
2,5,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185,
2,5,,,,,,,,,27.25
2,5,,,0.95,,,,,,
