pl_name,hostname,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,sy_gaiamag
11 UMi b,11 UMi,1,1,0,516.21997,1.53,12.3,1.09,4684.8142,14.74,Msini,0.08,,,0,K4 III,4213,29.79,2.78,-0.02,[Fe/H],2.43,1.93,1.56,,1.5,,-17.52,4.56216
14 And b,14 And,1,1,0,185.84,0.83,12.9,1.15,1525.5,4.8,Msini,0,,,0,K0 III,4813,11,2.2,-0.24,[Fe/H],1.763,2.63,4.5,,2.6,,-59.73,4.91781
14 Her b,14 Her,1,1,0,1773.40002,2.93,12.9,1.15,1481.0878,4.66,Msini,0.37,,,0,K0 V,5338,0.93,0.9,0.41,[Fe/H],-0.153,4.45,3.9,1.27393,1,,-13.82,6.383
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,,330,18.647,1.664,3000,8,Mass,,,1700,0,K7 V,4060,1.31,0.85,,,-0.37,4,0.005,0.38789,,,,12.0572
24 Boo b,24 Boo,1,1,0,30.3506,0.19,13.9,1.24,289.2253,0.91,Msini,0.042,,,0,G3 IV,4893,10.64,0.99,-0.77,[Fe/H],1.774,2.42,6.92,,3.36,,-7.77,5.3339
24 Sex b,24 Sex,1,2,0,452.8,1.333,13.4,1.19,632.46,1.99,Msini,0.09,,,0,K0 IV,5098,4.9,1.54,-0.03,[Fe/H],1.164,3.5,2.7,,2.77,,7.29,6.20374
24 Sex c,24 Sex,1,2,0,883,2.08,13.9,1.24,273.32,0.86,Msini,0.29,,,0,K0 IV,5098,4.9,1.54,-0.03,[Fe/H],1.164,3.5,2.7,,2.77,,7.29,6.20374
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,0,,52,11.209,1,7786.5,24.5,Mass,,,1600,0,M3.5 V,3530,0.37,0.4,,,-1.72,4.86,0.12,10.11868,,,9.6,12.9025
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,0,,156,16.141,1.44,4417.837,13.9,Mass,,,,0,M6,3064,0.28,0.11,,,-2.23,4.59,0.035,17.67076,6.5,,10.6,15.0123
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,0,,15,12.6,1.13,2383.6,7.5,Mass,,,,0,M8.5,2936,0.23,0.02,,,-2.444,5.01,0.001,22.7811,,,,18.9668
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,0,,46,13,1.16,1271,4,Mass,,,1150,0,M8,2825,0.22,0.19,,,-2.561,5.03,0.008,25.27945,,,,17.4076
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,0,7336.5,,10.31,0.92,6657.48,20.95,Mass,0.26,,2075,0,M8.5,2300,0.12,0.08,,,-3.48,5.22,,63.55229,,,13,17.3961
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,0,,230,12.3,1.1,3972.875,12.5,Mass,,,,0,K7 V,4045,0.64,0.6,,,-1.021,4.62,0.12,3.36994,,,-21.5,11.9484
4 UMa b,4 UMa,1,1,0,269.3,0.87,12.7,1.13,2256.5,7.1,Msini,0.432,,,0,K1 III,4415,18.11,1.23,-0.25,[Fe/H],2.062,1.8,4.604,,,,14.62,4.23773
47 UMa b,47 UMa,1,3,0,1078,2.1,13.2,1.18,804.08,2.53,Msini,0.032,,,0,G0 V,5872,1.21,1.06,0.04,[M/H],0.198,4.3,6.48,0.83662,2.8,,11.22,4.87837
47 UMa c,47 UMa,1,3,0,2391,3.6,14.2,1.27,171.621,0.54,Msini,0.098,,,0,G1 V,5872,1.21,1.06,0.04,[M/H],0.198,4.3,6.48,0.83662,2.8,,11.22,4.87837
47 UMa d,47 UMa,1,3,0,14002,11.6,13.5,1.2,521.22,1.64,Msini,0.16,,,0,G0V,5872,1.21,1.06,0.04,[M/H],0.198,4.3,6.48,0.83662,2.8,,11.22,4.87837
51 Peg b,51 Peg,1,1,0,4.230785,0.0527,14.3,1.27,146.2018,0.46,Mass,0.013,,,0,G5V,5758,1.18,1.03,0.18,[M/H],0.136,4.31,10,0.89374,2.2,30,-33.25,5.28647
6 Lyn b,6 Lyn,1,1,0,934.3,2.11,13.4,1.19,638.8383,2.01,Msini,0.073,,,0,K0 IV,4938,5.2,1.44,-0.13,[Fe/H],1.176,3.19,2.353,,1.32,,39.7,5.60686
61 Vir b,61 Vir,1,3,0,4.215,0.050201,2.11,0.188,5.1,0.016,Msini,0.12,,,0,G5 V,5577,0.96,0.94,-0.01,[Fe/H],-0.095,4.34,8.96,1.44933,1.9,,-8.2,4.54052
61 Vir c,61 Vir,1,3,0,38.021,0.2175,4.46,0.398,18.2,0.057,Msini,0.14,,,0,G5 V,5577,0.96,0.94,-0.01,[Fe/H],-0.095,4.34,8.96,1.44933,1.9,,-8.2,4.54052
61 Vir d,61 Vir,1,3,0,123.01,0.476,5.11,0.456,22.9,0.072,Msini,0.35,,,0,G5 V,5577,0.96,0.94,-0.01,[Fe/H],-0.095,4.34,8.96,1.44933,1.9,,-8.2,4.54052
