sy_snum,sy_pnum,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_radv
2,1,G8 III,4742.00,19.00,2.70,-0.350,[Fe/H],2.243,2.31,,,1.2000,43.37
1,1,K4 III,4213.00,29.79,2.78,-0.020,[Fe/H],2.430,1.93,1.560,,1.5000,-17.52
1,1,K0 III,4813.00,11.00,2.20,-0.240,[Fe/H],1.763,2.63,4.500,,2.6000,-59.73
1,2,K0 V,5338.00,0.93,0.90,0.410,[Fe/H],-0.153,4.45,3.900,1.27393,1.0000,-13.82
3,1,G3 V,5750.00,1.13,1.08,0.060,[Fe/H],0.097,4.36,7.400,1.01103,2.7000,-28.10
2,1,G6 III,4979.00,8.50,2.30,-0.052,[Fe/H],1.602,2.82,1.100,,,4.35
1,1,K7 V,4060.00,1.31,0.85,,,-0.370,4.00,0.005,0.38789,,
1,1,G3 IV,4893.00,10.64,0.99,-0.770,[Fe/H],1.774,2.42,6.920,,3.3600,-7.77
1,2,K0 IV,5098.00,4.90,1.54,-0.030,[Fe/H],1.164,3.50,2.700,,2.7700,7.29
1,2,K0 IV,5098.00,4.90,1.54,-0.030,[Fe/H],1.164,3.50,2.700,,2.7700,7.29
2,1,M5.5/M6,,,0.19,,,,,0.030,,,
1,1,M3.5 V,3530.00,0.37,0.40,,,-1.720,4.86,0.120,10.11868,,9.60
1,1,M6,3064.00,0.28,0.11,,,-2.230,4.59,0.035,17.67076,6.5000,10.60
1,1,M8.5,2936.00,0.23,0.02,,,-2.444,5.01,0.001,22.78110,,
1,1,M8,2825.00,0.22,0.02,,,-2.561,5.03,0.008,25.27945,,
2,1,,10868.00,0.34,0.48,-0.092,[Fe/H],0.168,3.91,,,,
1,1,M8.5,2300.00,0.12,0.08,,,-3.480,5.22,,63.55229,,13.00
1,1,K7 V,4045.00,0.64,0.60,,,-1.021,4.62,0.120,3.36994,,-21.50
4,1,F6 V,6331.00,1.41,1.93,0.190,[Fe/H],0.381,4.43,0.910,0.74300,38.3000,12.89
1,1,K1 III,4415.00,18.11,1.23,-0.250,[Fe/H],2.062,1.80,4.604,,,14.62
2,1,K1.5 III,4200.00,22.03,0.98,-0.460,[Fe/H],2.155,1.71,9.490,,1.0000,31.79
1,3,G0 V,5872.00,1.21,1.06,0.040,[M/H],0.198,4.30,6.480,0.83662,2.8000,11.22
1,3,G1 V,5872.00,1.21,1.06,0.040,[M/H],0.198,4.30,6.480,0.83662,2.8000,11.22
1,3,G0V,5872.00,1.21,1.06,0.040,[M/H],0.198,4.30,6.480,0.83662,2.8000,11.22
3,1,F0 IV,7295.00,1.49,1.65,-0.027,[M/H],0.752,4.31,0.020,0.70712,65.1900,17.30
1,1,G5V,5758.00,1.18,1.03,0.180,[M/H],0.136,4.31,10.000,0.89374,2.2000,-33.25
2,5,K0 IV-V,5172.00,0.94,0.91,0.350,[Fe/H],-0.197,4.43,5.500,1.41851,1.2300,27.25
2,5,G8V,5172.00,0.94,0.91,0.350,[Fe/H],-0.197,4.43,10.200,1.41851,1.2300,27.41
2,5,G8 V,5172.00,0.94,0.91,0.350,[Fe/H],-0.197,4.43,5.500,1.41851,1.2300,27.25
2,5,G8 V,5172.00,0.94,0.91,0.350,[Fe/H],-0.197,4.43,10.200,1.41000,1.2300,27.41
2,5,G8V,5172.00,0.94,0.91,0.350,[Fe/H],-0.197,4.43,10.200,1.41851,1.2300,27.41
1,1,K0 IV,4938.00,5.20,1.44,-0.130,[Fe/H],1.176,3.19,2.353,,1.3200,39.70
1,3,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],-0.095,4.34,8.960,1.44933,1.9000,-8.20
1,3,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],-0.095,4.34,8.960,1.44933,1.9000,-8.20
1,3,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],-0.095,4.34,8.960,1.44933,1.9000,-8.20
1,2,K1 III,4826.00,4.87,1.34,0.210,[Fe/H],1.063,3.19,4.300,,1.1500,
1,2,K1III(+M),4826.00,4.87,1.34,0.210,[Fe/H],1.063,3.19,4.300,,1.1500,
1,1,G5V,5495.00,1.89,1.09,-0.090,[Fe/H],0.451,3.95,7.770,0.19024,1.5600,4.95
2,1,G3 III,4846.00,10.50,2.49,0.000,[Fe/H],1.730,2.63,,,1.7700,-6.21
1,1,K0,4847.00,10.30,1.44,-0.030,[Fe/H],1.725,2.57,1.700,,3.6000,-9.20
1,1,G5 III,4785.00,11.00,2.40,-0.060,[Fe/H],1.778,2.35,,,1.8000,9.25
3,1,K0 III,4665.00,11.00,1.40,-0.030,[Fe/H],1.692,2.52,3.560,,3.9000,-25.75
1,1,K2 V,5285.00,1.00,0.90,0.040,[Fe/H],-0.226,4.53,0.030,1.12014,10.3500,22.20
1,1,M1VE,3700.00,0.75,0.50,,,-1.046,4.57,0.022,2.74466,8.7000,-6.31
1,1,,4095.00,32.35,1.14,-0.710,[Fe/H],2.700,1.89,5.200,,2.7000,50.88
1,1,K2 V,4864.00,0.86,0.49,0.170,[Fe/H],-0.320,4.26,,1.73113,2.5000,-44.30
1,1,G5,4649.00,8.95,1.08,-0.220,[Fe/H],1.570,2.61,7.410,,2.5000,-9.65
1,1,K0,4796.00,14.70,1.10,0.280,[Fe/H],2.010,2.80,7.100,,2.3000,36.71
1,2,K2 II,4259.00,71.02,10.83,-0.790,[Fe/H],3.170,1.77,,,2.5000,145.77
1,2,K2 II,4137.00,49.00,2.80,-1.000,[Fe/H],3.170,1.51,,,2.5000,145.77
1,1,K5 III,4296.00,17.30,0.80,-0.460,[Fe/H],1.960,1.99,,,2.0000,8.39
1,1,G,5766.00,1.08,1.67,-0.150,[Fe/H],-0.056,4.50,3.340,1.89000,3.3000,-20.34
1,1,K1,5004.00,0.81,0.81,-0.090,[Fe/H],-0.399,4.22,,2.22951,2.0000,-6.82
1,1,K0 III,4414.00,11.00,0.74,-0.200,[Fe/H],1.690,2.24,,,1.0000,-5.81
1,1,K3 III,4534.00,10.33,1.09,-0.130,[Fe/H],1.640,2.48,,,0.7000,-45.93
1,1,K0,4943.00,7.60,1.52,-0.190,[Fe/H],1.470,2.85,2.340,,1.7000,3.61
