default_flag,sy_snum,sy_pnum,pl_orbper,pl_rade,pl_radj,pl_masse,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv
1,2,1,326.03000000,,,,4742.00,19.00,2.70,-0.350,[Fe/H],2.243,2.31,,,1.2000,,
0,2,1,,,,,,,2.60,,,,,,,,,
0,1,1,516.22000000,,,,4340.00,24.08,1.80,0.040,[Fe/H],,1.60,1.560,,1.5000,,
1,1,1,516.21997000,,,,4213.00,29.79,2.78,-0.020,[Fe/H],,1.93,,,,,
0,1,1,,,,,,,1.70,,,,,,,,,
0,1,1,,,,,,,1.20,,,,,,,,,
1,1,1,185.84000000,,,,4813.00,11.00,2.20,-0.240,[Fe/H],1.763,2.63,,,2.6000,,
0,1,2,,,,,,,0.90,,,,,,,,,
0,1,2,1796.40000000,,,,5255.00,,0.90,0.510,[Fe/H],-0.150,4.40,3.900,,1.0000,,-13.82
0,1,2,1724.00000000,,,,,,1.00,0.350,[Fe/H],,,,,,,
0,1,2,1766.41000000,,,,5314.94,1.00,0.97,0.405,[Fe/H],,4.43,,,,,
0,1,2,1766.00000000,,,,5280.00,1.00,0.91,0.400,[M/H],-0.153,4.40,,1.2739,,,
0,1,2,1773.40000000,,,,,,,,,,,,,,,
1,1,2,1773.40002000,,,,5338.00,0.93,0.90,0.410,[Fe/H],,4.45,,,,,
1,3,1,798.50000000,,,,5750.00,1.13,1.08,0.060,[Fe/H],,4.36,,,,,
0,3,1,799.45000000,,,,5711.97,1.16,0.98,0.074,[Fe/H],,4.30,,,,,
0,3,1,800.80000000,,,,5760.00,,1.00,0.050,[Fe/H],,4.35,,,2.7000,,
0,3,1,799.50000000,,,,,,,,,,,,,,,
0,3,1,798.50000000,,,,5674.00,,0.99,0.038,[Fe/H],,4.36,,,2.1800,,
0,3,1,799.50000000,,,,5747.00,1.13,1.03,0.060,[M/H],0.097,4.35,,1.0110,,,
0,2,1,,,,,,,2.10,,,,,,,,,
1,2,1,993.30000000,,,,4979.00,8.50,2.30,-0.052,[Fe/H],1.602,2.82,,,,,
0,1,1,,,,4000.00000,4060.00,,0.85,,,-0.370,,0.010,,,,
1,1,1,,,,3000.00000,4060.00,,0.85,,,-0.370,,0.005,,,,
0,1,1,,,,3000.00000,3993.00,1.31,0.62,,,-0.403,4.00,,0.3879,,,
0,1,1,,18.647,1.664,2543.00000,4060.00,1.35,0.85,,,,,0.005,,,,
1,1,1,30.35060000,,,,4893.00,10.64,0.99,-0.770,[Fe/H],1.774,2.42,6.920,,3.3600,,
1,1,2,452.80000000,,,,5098.00,4.90,1.54,-0.030,[Fe/H],1.164,3.50,2.700,,2.7700,,
1,1,2,883.00000000,,,,5098.00,4.90,1.54,-0.030,[Fe/H],1.164,3.50,2.700,,2.7700,,
1,2,1,,,,4131.79000,,,0.19,,,,,0.030,,,,
1,1,1,,,,7786.50000,3530.00,,0.40,,,-1.720,,0.120,,,,9.60
0,1,1,,11.209,1.000,,3309.00,0.37,0.35,,,-1.838,4.86,,10.1187,,,
1,1,1,,16.141,1.440,4417.83700,3064.00,0.28,0.11,,,-2.230,4.59,0.035,,6.5000,,10.60
1,1,1,,,,2383.60000,,,0.02,,,,,0.001,,,,
1,1,1,,,,1589.15000,,,0.02,,,,,0.008,,,,
0,1,1,,,,1271.00000,2825.00,0.22,0.19,,,-2.561,5.03,,25.2795,,,
1,2,1,416.00000000,,,603.87700,,,0.48,,,,,,,,,
1,1,1,7336.50000000,10.310,0.920,6657.48000,2300.00,0.12,0.08,,,-3.480,,,,,,13.00
1,1,1,,,,3972.87500,4045.00,,0.60,,,,,0.120,,,,-21.50
0,4,1,345.40000000,,,,,1.13,1.16,,,,,,,,,
0,4,1,335.10000000,,,,6300.00,1.13,1.16,0.245,[Fe/H],,4.50,0.910,,38.3000,,
1,4,1,335.10001000,,,,6331.00,1.41,1.93,0.190,[Fe/H],,4.43,,,,,
1,1,1,269.30000000,,,,4415.00,18.11,1.23,-0.250,[Fe/H],,1.80,4.604,,,,
1,2,1,479.10000000,,,,4200.00,22.03,0.98,-0.460,[Fe/H],,1.71,9.490,,1.0000,,
1,1,3,1078.00000000,,,,5872.00,1.21,1.06,0.040,[M/H],0.198,4.30,,0.8366,,,
0,1,3,1076.60000000,,,,5829.16,1.14,1.01,0.026,[Fe/H],,4.33,,,,,
0,1,3,1076.60000000,,,,5882.00,,1.06,0.040,[Fe/H],,,,,2.8000,,
0,1,3,1100.80000000,,,,,,,,,,,,,,,11.22
0,1,3,1083.20000000,,,,,,,,,,,,,,,
1,1,3,2391.00000000,,,,5872.00,1.21,1.06,0.040,[M/H],0.198,4.30,,0.8366,,,
0,1,3,2287.00000000,,,,5829.16,1.14,1.01,0.026,[Fe/H],,4.33,,,,,
0,1,3,7586.00000000,,,,,,,,,,,,,,,
0,1,3,19000.00000000,,,,5829.16,1.14,1.01,0.026,[Fe/H],,4.33,,,,,
1,1,3,14002.00000000,,,,5872.00,1.21,1.06,0.040,[M/H],0.198,4.30,,0.8366,,,
0,3,1,,,,635.66000,,,1.75,-0.027,[M/H],0.850,,0.020,,,,17.30
0,3,1,14965.00000000,,,,7295.00,1.49,1.65,,,0.752,4.31,,0.7071,,,
1,3,1,11688.00000000,,,,7295.00,1.49,1.65,,,0.752,4.31,,0.7071,,,
0,1,1,4.23079690,,,,5760.76,1.19,1.07,0.206,[Fe/H],,4.32,,,,,
0,1,1,4.22930000,,,,5773.00,1.29,,0.200,[M/H],,4.32,10.000,,2.2000,30.00,
1,1,1,4.23078500,,,,5758.00,1.18,1.03,0.180,[M/H],0.136,4.31,,0.8937,,,
